cohort_day,tape,uniqueID,MR11.cor
2,blue,2b45,-0.000208931659234343
2,blue,2b50,-0.0003210165903283
2,red,2r45,-5.4195898899436e-05
2,red,2r50,-0.000146212457148993
3,orange,3o60,-0.000264882437645179
3,white,3w59,-0.00269933124834201
4,orange,4o77,-0.000115596555642997
4,orange,4o78,-0.000149938926115366
4,white,4w27,-0.000291155582745609
5,white,5w76,-7.59403978316603e-05
10,orange,10o78,-2.6631162350512e-05
11,orange,11o71,-0.000148098037796429
12,white,12w76,-0.000288082395725939
12,white,12w77,-0.000443090483036189
12,blue,12b77,-8.4169106435441e-06
13,red,13r73,-1.00259098713107e-05
13,orange,13o64,-5.18530927988018e-05
14,red,14r70,-8.65064460753247e-06
14,blue,14b59,-5.47328167450331e-05
14,blue,14b70,-7.21216695040005e-06
16,orange,16o6,-0.00178607659326445
16,orange,16o8,-0.00327996808159104
16,orange,16o9,-0.00371636990910134
16,orange,16o17,-0.000443994568192781
16,orange,16o23,-0.000860552384591096
16,orange,16o29,-0.000584801678296492
16,orange,16o47,-0.00321728987677521
16,white,16B37,-3.04336215706959e-05
18,blue,18b33,-2.04291777134189e-05
18,white,18w15,-0.000284808094288689
18,white,18w32,-6.64671373991179e-05
19,orange,19o33,-2.50080418841967e-05
19,red,19r34,-8.55706264324185e-06
20,red,20r19,-0.000239400861905681
20,blue,20b18,-7.01535125118678e-05
2,blue,h2b34,-0.000108972040971685
3,white,h3w21,-0.000534102526838888
3,white,h3w27,-0.00323263423105028
3,white,h3w28,-0.00309090548723927
4,white,h4w25,-0.000223220421545813
4,white,h4w26,-0.000226460432255302
5,orange,h5o23,-3.15335631095847e-05
5,red,h5r24,-2.70509679599786e-05
6,white,h6w32,-7.52892123332122e-05
6,blue,h6b32,-4.60566792961185e-05
7,red,h7r67,-8.19199457259158e-05
7,orange,h7o67,-6.22964204622499e-05
8,white,h8w20,-6.51897235053141e-05
8,orange,h8o19,-0.000162332405964546
9,white,h9w6,-9.72740042907978e-05
9,orange,h9o6,-0.000105559534669596
10,blue,h10b8,-0.000133402559741646
10,red,h10r7,-1.67473553781415e-05
11,white,h11w11,-0.000244323258482545
12,white,h12w4,-0.00043161536763902
